rowname	Symbol	Name	EntrezGene.ID	Ensembl.Gene.ID	MGI.ID	Gene.group.name
HGNC:5	A1BG	alpha-1-B glycoprotein	1	ENSG00000121410	MGI:2152878	Immunoglobulin like domain containing
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	503538	ENSG00000268895		Antisense RNAs
HGNC:24086	A1CF	APOBEC1 complementation factor	29974	ENSG00000148584	MGI:1917115	RNA binding motif containing
HGNC:7	A2M	alpha-2-macroglobulin	2	ENSG00000175899	MGI:2449119	"C3 and PZP like, alpha-2-macroglobulin domain containing"
HGNC:27057	A2M-AS1	A2M antisense RNA 1	144571	ENSG00000245105		Antisense RNAs
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	144568	ENSG00000166535		"C3 and PZP like, alpha-2-macroglobulin domain containing"
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	NA	ENSG00000256661		Antisense RNAs
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	NA	ENSG00000256904		Antisense RNAs
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	3	ENSG00000256069		
HGNC:30005	A3GALT2	"alpha 1,3-galactosyltransferase 2"	127550	ENSG00000184389	MGI:2685279	Glycosyltransferase family 6
HGNC:18149	A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	53947	ENSG00000128274	MGI:3512453	"Blood group antigens|Alpha 1,4-glycosyltransferases"
HGNC:17968	A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"	51146	ENSG00000118017	MGI:2143261	"Alpha 1,4-glycosyltransferases"
HGNC:13666	AAAS	aladin WD repeat nucleoporin	8086	ENSG00000094914	MGI:2443767	WD repeat domain containing|Nucleoporins
HGNC:21298	AACS	acetoacetyl-CoA synthetase	65985	ENSG00000081760	MGI:1926144	Acyl-CoA synthetase family
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522	ENSG00000250420		
HGNC:17	AADAC	arylacetamide deacetylase	13	ENSG00000114771	MGI:1915008	Arylacetamide deacetylase family|Lipases
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	344752	ENSG00000197953	MGI:3646333	Arylacetamide deacetylase family
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	101928142	ENSG00000242908		Antisense RNAs
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	126767	ENSG00000188984	MGI:2685281	Arylacetamide deacetylase family
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	343066	ENSG00000204518		Arylacetamide deacetylase family
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	201651	ENSG00000240602		
HGNC:17929	AADAT	aminoadipate aminotransferase	51166	ENSG00000109576	MGI:1345167	
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	79719	ENSG00000103591	MGI:1914189	
HGNC:19679	AAK1	AP2 associated kinase 1	22848	ENSG00000115977	MGI:1098687	Small nucleolar RNA protein coding host genes
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	28971	ENSG00000087884	MGI:1913523	
HGNC:18	AAMP	angio associated migratory cell protein	14	ENSG00000127837	MGI:107809	WD repeat domain containing
HGNC:19	AANAT	aralkylamine N-acetyltransferase	15	ENSG00000129673	MGI:1328365	GCN5 related N-acetyltransferases
HGNC:15886	AAR2	AAR2 splicing factor	25980	ENSG00000131043	MGI:1915545	
HGNC:33842	AARD	alanine and arginine rich domain containing protein	441376	ENSG00000205002	MGI:2181621	
HGNC:20	AARS1	alanyl-tRNA synthetase 1	16	ENSG00000090861	MGI:2384560	"Aminoacyl tRNA synthetases, Class II"
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	NA	ENSG00000249038		
HGNC:21022	AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	57505	ENSG00000124608	MGI:2681839	"Aminoacyl tRNA synthetases, Class II"
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	ENSG00000266967	MGI:1916934	
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	ENSG00000157426	MGI:2442517	Acyl-CoA synthetase family
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	ENSG00000149313	MGI:1914868	
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	10157	ENSG00000008311	MGI:1353573	
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	284837	ENSG00000215458		Long non-coding RNAs with non-systematic symbols
HGNC:19235	AATF	apoptosis antagonizing transcription factor	26574	ENSG00000275700	MGI:1929608	MicroRNA protein coding host genes
HGNC:21	AATK	apoptosis associated tyrosine kinase	9625	ENSG00000181409	MGI:1197518	MicroRNA protein coding host genes|Protein phosphatase 1 regulatory subunits|Receptor tyrosine kinases
HGNC:22	AAVS1	adeno-associated virus integration site 1	17			
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294	ENSG00000281376		Long non-coding RNAs with non-systematic symbols
HGNC:23	ABAT	4-aminobutyrate aminotransferase	18	ENSG00000183044	MGI:2443582	
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	19	ENSG00000165029	MGI:99607	ATP binding cassette subfamily A
